City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
2,Hithadhoo,MV,81.07,overcast clouds,-0.6,73.0833,Scoop Guest House
4,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
9,Butaritari,KI,81.41,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
14,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Hervey Bay,AU,71.02,moderate rain,-25.2986,152.8535,Shelly Bay Resort
16,Pemangkat,ID,79.63,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
19,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
24,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
37,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Nha Trang,VN,78.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
44,Ilheus,BR,72.55,clear sky,-14.7889,-39.0494,Barravento Hotel
46,Arraial Do Cabo,BR,72.36,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Sur,OM,80.98,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
53,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
54,Vao,NC,72.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
55,Vaini,TO,77.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
57,Touros,BR,77.59,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
58,Atuona,PF,76.95,clear sky,-9.8,-139.0333,Villa Enata
59,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
61,Celestun,MX,77.27,light rain,20.8667,-90.4,Posada Lilia
62,Victoria,HK,73.45,overcast clouds,22.2855,114.1577,Mini Central
