City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2021-11-02 03:54:49,42.097,-79.2353,42.03,84,90,1.99,overcast clouds
1,Bethel,US,2021-11-02 03:54:49,41.3712,-73.414,48.49,79,99,3.4,overcast clouds
2,Torbay,CA,2021-11-02 03:54:50,47.6666,-52.7314,52.75,96,90,8.05,mist
3,Albany,US,2021-11-02 03:53:20,42.6001,-73.9662,42.53,77,100,5.99,overcast clouds
4,Cidreira,BR,2021-11-02 03:54:52,-30.1811,-50.2056,68.31,93,80,17.69,broken clouds
5,Coahuayana,MX,2021-11-02 03:54:53,18.7333,-103.6833,75.45,83,10,2.75,clear sky
6,Hilo,US,2021-11-02 03:53:29,19.7297,-155.09,76.8,82,10,3.65,clear sky
7,Noumea,NC,2021-11-02 03:54:54,-22.2763,166.4572,75.18,59,88,13.76,overcast clouds
8,Puerto Ayora,EC,2021-11-02 03:54:54,-0.7393,-90.3518,68.45,91,57,5.75,broken clouds
9,Saint George,US,2021-11-02 03:54:55,37.1041,-113.5841,65.53,45,1,1.01,clear sky
10,Butaritari,KI,2021-11-02 03:54:56,3.0707,172.7902,82.08,71,16,12.91,few clouds
11,Kaitangata,NZ,2021-11-02 03:54:56,-46.2817,169.8464,51.69,57,84,12.3,broken clouds
12,Ushuaia,AR,2021-11-02 03:51:42,-54.8,-68.3,49.66,62,0,3.44,clear sky
13,Menongue,AO,2021-11-02 03:54:57,-14.6585,17.691,61.84,58,28,4.54,scattered clouds
14,Chapada Dos Guimaraes,BR,2021-11-02 03:54:58,-15.4606,-55.7497,71.26,93,82,5.03,broken clouds
15,Saint-Francois,FR,2021-11-02 03:54:58,46.4154,3.9054,47.48,95,0,4.61,clear sky
16,Tevaitoa,PF,2021-11-02 03:54:58,-16.7833,-151.5,80.01,80,34,17.25,light rain
17,Machali,CL,2021-11-02 03:54:59,-34.1833,-70.6667,59.72,67,100,3.0,overcast clouds
18,Codrington,AU,2021-11-02 03:55:00,-38.2667,141.9667,78.66,43,40,13.78,scattered clouds
19,Busselton,AU,2021-11-02 03:55:00,-33.65,115.3333,65.05,59,50,16.49,scattered clouds
20,Podujevo,XK,2021-11-02 03:55:01,42.9106,21.1931,49.39,82,91,4.21,overcast clouds
21,Petropavlovsk-Kamchatskiy,RU,2021-11-02 03:55:02,53.0452,158.6483,34.39,35,40,13.42,scattered clouds
22,Atuona,PF,2021-11-02 03:55:02,-9.8,-139.0333,78.1,73,58,10.6,broken clouds
23,Manbij,SY,2021-11-02 03:55:04,36.5281,37.9549,59.77,80,100,6.91,overcast clouds
